     tau         EL         x1         y1         z1         x2         y2         z2
   14600   -3.48622   -0.60569    0.18157    0.38631   -0.67385    0.74533    0.82339 
   14700   -2.40248   -0.52156    0.64372   -0.32306    0.11481   -0.10149    0.16919 
   14800   -2.95347   -0.31357   -0.08714    0.05241   -0.21588    0.63289    0.80582 
   14900   -2.88991   -0.27294   -0.67103   -0.77904    1.13458    0.46445   -0.38980 
   15000   -3.26604    0.16653    0.10613    0.09736   -0.01173   -1.29358    1.83352 
   15100   -3.13111   -0.08611    0.12292    0.22408    1.77913    0.92568   -0.03162 
   15200   -3.02938    0.02976    0.09506   -0.44001    0.41119   -0.00121   -0.34793 
   15300   -3.64496    1.47924    0.78764    0.49357    0.07475    0.06533   -0.02608 
   15400   -2.73517    0.31307   -0.83667   -0.15999   -0.40350    1.07968    0.36252 
   15500   -3.16230    0.85775    0.95757    1.72924    1.25882    0.24817   -0.57564 
   15600   -3.14453   -0.02656   -0.08901    0.30608    0.73452    0.23834    0.61715 
   15700   -2.93814   -0.40006    0.73264   -1.75982   -0.15143    0.03851    0.18978 
   15800   -2.28442    0.07824    0.13081   -0.13970    0.17035   -0.24141    0.04220 
   15900   -3.59316   -0.40122    0.40898    0.27842   -0.21425    0.14588    0.04220 
   16000   -3.04275   -0.72863   -1.07534   -0.50665   -0.05412   -0.20389    0.35110 
   16100   -3.12556   -0.57328   -1.80310   -0.35204    0.54165   -0.42110    0.55350 
   16200   -2.95973   -0.77780    0.69359   -0.27007    0.41405    0.94332    0.86138 
   16300   -2.29302    0.06746    0.05990   -0.19604   -0.14277   -0.48243    0.37023 
   16400   -2.77836    0.28609    0.02341   -0.78329    0.12963    0.96735    0.66979 
   16500   -3.28431    0.78297   -0.52973    0.08612    0.23914   -0.21219    0.34627 
   16600   -2.88863    1.39464    1.28454   -0.56084   -0.14837   -0.23102   -0.14922 
   16700   -2.80487   -0.34162    1.15427   -0.10497    0.33676   -0.67963   -0.69635 
   16800   -2.85597   -0.74071    0.42365    0.12548    0.74043   -1.29603    0.50578 
   16900   -2.95630    0.20778   -0.40785    0.40626    0.76960   -0.01548    0.18395 
   17000   -2.95757   -1.42017   -0.59192    0.91071    1.01623    0.49540   -0.19301 
   17100   -2.91209   -0.08779    0.14960   -0.60472    0.45899    1.25441    0.36905 
