     tau         EL         x1         y1         z1         x2         y2         z2
   23700   -2.52321   -0.23406   -0.91441    0.61394    0.12427    0.49765   -0.21717 
   23800   -3.36405    0.36014    0.67873    1.43302   -0.09927   -0.02302    0.09743 
   23900   -2.77423    0.66811   -0.20087    0.06138    0.20253    0.43847   -0.07000 
   24000   -2.68954   -0.89467   -0.25499   -0.17416    0.86240    0.31608    0.84178 
   24100   -2.48670   -0.37736   -0.20690   -0.31462    0.26567    0.17011    0.85193 
   24200   -2.76072   -1.44215    0.62866   -0.38733    0.81458   -0.32560   -0.17038 
   24300   -2.66159   -0.60987   -0.15593   -0.38604    0.18130    0.03544   -0.19786 
   24400   -2.81595    0.67821   -0.64403   -0.33549    0.65928    0.72450    0.14335 
   24500   -2.82139    0.45136   -0.26059    0.34243   -0.05830   -0.00440    0.06405 
   24600   -2.87400    0.00118   -0.63924    0.49334   -1.36746    0.67742   -1.25031 
   24700   -3.17667    0.50573    1.28972   -1.05707    0.75020   -0.16386   -0.42107 
   24800   -3.06823   -0.04888   -0.43424   -0.03994    0.23842   -0.34907   -0.43314 
   24900   -2.84164    0.52338    0.40993   -0.24854   -0.76863   -0.00825   -1.06142 
   25000   -2.70046   -0.61748   -0.44085    0.10721    0.13899    0.96856    0.62096 
   25100   -2.69103    0.19676   -0.22540    0.47846    0.13819   -0.13375   -0.12956 
   25200   -2.71562    0.75601    0.58623    1.27056   -0.36810   -0.45582   -0.50678 
   25300   -2.69930    0.30316    0.64053    0.06433    0.10519   -0.64003    0.88498 
   25400   -2.83706    0.07166   -0.87735    0.08427   -0.59683   -0.09930    0.54414 
   25500   -2.81159    0.75941    0.00277    0.12908   -0.15423    1.08225    0.25962 
   25600   -3.25215    1.11703   -0.09508   -0.16236    0.33897   -0.12641    0.35019 
   25700   -2.63027    0.22972    0.88680   -0.25825   -0.02456   -0.76093    0.70088 
   25800   -2.54784   -0.09835    0.31177   -0.54732    0.05655    0.27547    0.83064 
   25900   -2.63797   -0.69174   -0.78738    0.06410    0.60720    0.34348    0.49983 
   26000   -2.70058    0.52435   -0.04895   -0.61198    0.14268   -0.71981    0.74409 
   26100   -3.19793    0.10724    0.73181   -0.41428    1.05194    0.74504   -0.01658 
   26200   -2.69593    0.14773    0.51255   -0.30746   -0.13325    0.01999    0.01352 
   26300   -3.22411   -0.37719    0.13795    0.96450   -0.59252    0.01999    0.20623 
   26400   -3.01928   -0.29486   -0.22365    1.13849   -0.11663    1.03814    0.60807 
   26500   -2.80637    1.05807   -1.49611    0.09826   -0.60701    0.26058    0.28359 
   26600   -3.18812   -1.26232    0.97292   -0.24479   -0.78555    0.12754    0.73268 
   26700   -3.49325    0.18390    0.26229   -0.35817    0.11789    0.22678   -0.08748 
   26800   -2.62659   -0.32948    0.36179    0.54322    0.92158   -0.69250   -0.41448 
   26900   -3.14777   -0.79300    0.68049   -1.04134   -0.20981   -0.39474   -0.41089 
   27000   -2.76179    0.24118    0.20044   -0.13493    0.56942   -0.65056    0.55022 
   27100   -2.40804    0.22832    0.33260    0.26428   -0.09722   -0.28525   -0.65713 
   27200   -3.00509    0.09080    0.01342   -0.56029    0.83695   -0.10507   -0.24662 
   27300   -2.80876    0.85789    0.31392    0.05760   -0.30570   -0.77125   -1.16276 
   27400   -2.64466    0.31502    0.29519   -0.57999   -0.28903    0.47689    0.23331 
   27500   -3.62949   -0.37005   -0.19882   -0.04444   -0.62361   -0.49853   -0.44201 
   27600   -2.78340    0.70166   -0.38297   -0.44356    0.18375    1.22596    0.14509 
   27700   -2.80334    0.29902   -0.35513    0.51308   -0.38703   -0.31965    0.13832 
   27800   -2.60165   -0.46749    0.18546   -1.06269    0.36561    0.16813    0.21661 
   27900   -2.90197   -0.10690   -0.16669   -0.05372    0.40714   -0.30821   -0.32232 
   28000   -2.69772   -0.95465    0.57775    0.27612    0.37842    0.08037   -0.72619 
   28100   -2.95831    0.30367   -0.74339    0.04363    0.41393    0.00026   -0.14336 
   28200   -2.54681    0.06705   -0.03827   -0.19909   -0.34080   -0.35146    0.07106 
   28300   -2.56428   -0.23090    0.37333   -0.49674    0.76070   -0.26622    0.04306 
   28400   -2.64065   -0.33302    0.74313    0.28534    0.22619   -0.20211    0.36346 
   28500   -3.34124   -0.89798   -1.30697   -0.76479   -0.02837    0.01892   -0.35916 
   28600   -2.74906    0.08208    0.14176    0.04978   -0.04408   -0.08810    0.44422 
