     tau         EL         x1         y1         z1         x2         y2         z2
   15300   -2.87343    0.75350    0.27247    0.16937   -0.76179    0.21735    0.93965 
   15400   -2.85150    1.07940   -0.14420   -0.47876   -0.11263    0.58717   -0.16356 
   15500   -3.08440    1.63997    0.41157   -0.50806   -0.17563   -1.06074   -0.16430 
   15600   -3.10667    0.77118   -0.28196   -0.68336   -0.83275    0.39320   -1.45694 
   15700   -3.18302   -0.72661   -1.12750   -1.00161    0.11121   -0.96274    0.10906 
   15800   -2.91795   -1.21923    0.21633    0.45689    0.23764    0.73826   -0.25160 
   15900   -2.49007    0.27156   -0.41373    0.04232   -0.20954    0.50228   -0.47042 
   16000   -2.59929    0.23052   -0.07206   -0.20953    0.38108    0.33728    0.24072 
   16100   -2.94965    0.41254    0.08792   -0.45255   -0.11041    1.25667   -0.05567 
   16200   -2.68920   -0.69191    0.31087   -0.98297    0.08026    0.00696    0.39407 
   16300   -3.02015    0.47892    0.91488   -1.13789    0.52555   -0.17814    0.09056 
   16400   -3.61563   -0.16866   -0.32420    0.17652   -0.76788   -1.08087    0.72015 
   16500   -2.69611    0.35000   -0.25661    0.30117    0.54448    0.41321   -0.52073 
   16600   -2.92978   -0.55029   -0.03379    0.93064   -0.35494   -0.19592   -0.12006 
   16700   -2.62819   -0.03980    0.10064   -0.73882   -0.00123   -0.22175    0.01109 
   16800   -3.46871   -0.35303    0.12772   -0.08288   -0.75554    0.75420   -0.27538 
   16900   -3.31856   -0.03784   -0.12995    0.04873   -0.33422   -0.59065   -0.23182 
   17000   -2.68326   -0.23976   -0.86612    0.21200   -0.18192    0.70136   -0.11835 
   17100   -3.54025    0.70477    0.82959    0.93782    0.11163    0.07702    0.02704 
   17200   -2.89561   -1.23832    0.64241    0.08838    0.28722    0.16819   -0.48872 
   17300   -2.89075    0.02780    0.60418   -0.76881    0.76491   -0.62010   -0.41787 
   17400   -3.07494   -1.12866    0.34139   -0.47423   -0.47901   -0.18564    0.30131 
   17500   -2.73871    0.32711   -0.16230   -0.69177   -0.05382   -0.23744    0.02708 
   17600   -3.07952    0.61626   -0.60563   -1.52894   -0.42366   -0.69811    0.17266 
   17700   -2.84646    0.19619   -0.07127    0.96115   -0.12867   -0.89078   -0.07317 
   17800   -2.91091    0.55501    0.32755   -0.43502   -0.05770    0.80880    1.02934 
   17900   -3.07291    0.30063   -1.02817    0.63044   -0.13686   -0.21940    1.04184 
   18000   -2.76256    0.03744   -0.13573    0.86532    0.51974   -0.44645   -0.61940 
   18100   -3.08474    0.03744   -0.10173   -0.01877    0.04477   -0.44068    0.99453 
   18200   -3.02128    0.14843   -0.95252    0.92446   -0.35611   -0.29877   -0.12164 
   18300   -2.88263    0.01309    0.79159   -0.23399    0.72963    0.33129    0.70216 
   18400   -2.70474   -0.47102   -0.69079   -0.31001    0.41120    0.54253   -0.36896 
   18500   -2.40741   -0.23540   -0.28735    0.07796    0.21491   -0.14504    0.02866 
   18600   -2.35512    0.11088    0.43115    0.53817   -0.07344   -0.20177   -0.04602 
   18700   -2.82497    0.65978    0.59125    0.52014    0.36216   -0.06827   -0.36105 
   18800   -2.97093    0.03731    0.28936    0.47490   -0.24306    0.13675    0.22933 
   18900   -2.72397    0.29915    0.51929   -0.51377   -0.81138   -0.41149    0.29642 
   19000   -3.23952   -0.11706   -0.08119   -0.70367    0.81796   -0.83190   -1.03785 
   19100   -3.26981   -0.15475    0.05923    0.03939   -0.11107    0.02994    0.06737 
   19200   -2.58652   -0.31456    0.35924    1.00717   -0.03482    0.02994   -0.19134 
   19300   -3.10025    0.81721    0.25697   -0.10492    0.05025    0.11983   -0.16729 
   19400   -2.73092    0.33766    0.38132   -0.28618   -0.24068    0.52696    0.03209 
   19500   -2.81855    0.35558   -0.29467    0.13767    0.20114    1.15170    0.40743 
   19600   -3.15147   -0.93486   -0.21614    0.50737    0.82552    1.88275   -0.38261 
   19700   -3.07711    1.19765   -0.40455    0.98714   -0.74789    0.63514    0.78818 
   19800   -2.43147    0.37763    0.08235    0.04200   -0.66808    0.20849   -0.20364 
   19900   -3.31706   -1.41134    0.30691    1.93815    1.64307   -0.32937   -0.50533 
   20000   -3.14676    0.91655    1.21821   -0.03444   -1.31642   -0.98821   -0.31520 
   20100   -3.49602   -0.62041   -0.21038   -0.65241   -1.66981    0.10052   -0.91828 
   20200   -2.82823   -0.17985   -0.06381    0.08563    0.03297   -0.76794   -0.30997 
   20300   -3.11099   -0.83072   -0.76023    0.51129   -0.04219    0.07573    0.27598 
   20400   -2.50267    0.27214   -0.24707    0.50072    0.27034    0.26431   -0.19769 
   20500   -2.69577   -0.20701    0.51966    0.12914    0.68949   -0.38574    0.57254 
   20600   -3.16237   -1.17608    0.82419    0.22624   -0.50758   -0.12578   -0.30165 
   20700   -3.13497   -0.14696   -0.00981   -0.63682   -1.33467    0.19946   -0.40347 
   20800   -2.80698   -0.71395    0.25409    0.22635    0.09936    0.60890    0.32242 
   20900   -2.66230    0.20408    0.70895   -0.27140    0.48067   -0.46461    0.32889 
   21000   -2.56651   -0.35591   -0.00624   -0.39472   -0.29882   -0.30445    0.43305 
   21100   -2.95257    0.55209   -0.68814    0.99883   -0.32733   -0.18103    0.03401 
   21200   -2.87369   -0.97409   -0.19035    0.79027    0.24609   -0.64597   -0.36848 
   21300   -3.00245   -0.32544    0.39753    0.36858   -0.10954    0.01788    0.86594 
   21400   -2.55848    0.04678    0.06937   -0.00616    0.27637   -0.94503    0.07055 
   21500   -2.40275   -0.19890    0.09838    0.09691    0.21747    0.16867    0.23386 
   21600   -3.49120    0.22687   -0.55883   -0.97710    0.20536   -0.12393   -0.44789 
   21700   -2.83729   -0.04614    0.18065   -0.50435    0.67977    0.48151   -0.17026 
   21800   -3.16644    0.37562   -0.54704    0.82793    0.06066   -1.41475    0.36213 
   21900   -3.14874   -1.00935    0.39838    1.19203   -0.49671    0.05190   -0.22079 
   22000   -2.84672    0.83680   -0.00254    0.09015   -0.33419   -0.72718    0.75392 
   22100   -2.84107   -0.59801    0.46499   -0.29343   -0.55704   -0.89435   -0.00409 
   22200   -2.93508   -1.16223   -0.23714    0.87252    0.77812   -0.34189   -0.04429 
   22300   -3.13089    0.31858   -0.45228   -0.25440   -1.50699   -1.13036    0.44283 
   22400   -2.35216   -0.44302   -0.07241    0.10275    0.01675    0.04805   -0.16432 
   22500   -3.23466    1.25825    0.04834    0.17581    0.33440    0.40355    0.05766 
   22600   -3.33568   -0.71436   -1.63109    0.51334   -0.43978   -0.42403   -0.34501 
   22700   -2.75985   -0.53269    0.02792   -0.30474   -0.43860   -0.35863    0.64929 
   22800   -2.71516   -0.51269    0.66433    0.14917    0.53044   -0.45245   -0.54461 
   22900   -3.44643    0.34765    0.65856   -0.55883    0.05620    0.04951   -0.00706 
   23000   -3.30412   -0.69012    0.85354   -0.27079   -1.90427   -0.87877    1.55939 
   23100   -2.47851   -0.16653   -0.14138   -0.36070    0.21465    0.00631   -0.10371 
   23200   -3.11541    1.05559   -0.25318   -1.08972   -0.05687   -0.64143   -0.24086 
   23300   -3.21051   -0.26018   -0.40323   -0.08531   -0.06934   -1.05444    0.75440 
   23400   -2.77364    0.00021   -1.07218    0.16073    0.20831    0.10631    0.19310 
   23500   -2.71254    0.12471    0.38953    0.17959   -0.75335   -0.24673    0.51778 
   23600   -2.74662    0.34068   -0.45785   -0.30258    0.12840    0.41362    1.00708 
   23700   -2.98226    0.75089    0.15951   -0.40017    0.01101    0.28492   -0.22035 
   23800   -2.76852   -0.00890    0.35280   -0.12955   -0.36769   -0.79075   -0.78267 
   23900   -2.85558    0.54662    0.91671    0.47389    0.40896   -0.19224   -0.21732 
   24000   -2.88917    0.49355    0.70502    0.55442   -1.08394   -0.47130   -0.09580 
   24100   -2.98347    0.02481   -0.19107    0.02881   -1.00246    0.25712    1.01804 
   24200   -2.93846   -0.67219    0.01010    0.17845   -0.34799    0.27949   -0.16877 
   24300   -2.34808   -0.05596    0.31234    0.25718    0.13362   -0.52193    0.00721 
   24400   -2.97337    0.38549    0.93203   -0.60192    0.08069   -1.28155   -0.27440 
   24500   -2.68281    0.36192   -0.70155    0.10059    0.43775    0.59230    0.11038 
   24600   -2.80219   -0.00653    0.20304    0.20183    0.32073    0.14362    0.20037 
   24700   -2.71346    0.21758    0.21352   -0.24200   -0.19993   -1.01221    0.81393 
   24800   -2.73064   -0.17682   -0.24011    1.09529   -0.32297   -0.07767   -0.41827 
   24900   -3.47800    0.59967    1.18682    0.94915    0.06757    0.41794    0.02926 
   25000   -2.76509   -0.66642    0.68806    0.60445    0.36731    0.21039   -0.43523 
   25100   -2.53580    0.02101   -0.35965   -0.61831   -0.29022    0.35540    0.03162 
