     tau         EL         x1         y1         z1         x2         y2         z2
   20700   -3.99560   -0.27263    0.78268   -0.32096    0.00911   -0.21267    0.05376 
   20800   -3.99591    0.09345    0.70030    0.07843    0.01832    0.17036   -0.16906 
   20900   -3.99642   -0.15502   -0.15664    0.26245    0.05205   -0.40059   -0.05931 
   21000   -3.99019   -0.06782    0.10896   -0.10621   -0.04315   -0.26851    0.50738 
   21100   -3.99707    1.25534   -0.29728   -0.49005    0.14112   -0.16871   -0.05847 
   21200   -4.00134   -0.54865   -0.00194    0.42946   -0.17391   -0.09951    0.44256 
   21300   -4.00545    0.38223    0.62916    0.67028   -0.56487    0.32321   -0.86598 
   21400   -3.99986   -0.20787    0.31965   -0.19584   -0.26759   -0.08669    0.50803 
   21500   -3.99608    0.25138    0.08121   -0.21428   -0.35551   -0.13981    0.08504 
   21600   -3.99899    0.13497   -0.40749    0.03623    0.27342    0.37600    0.13543 
   21700   -4.00236    0.32632   -0.34454    0.05447    0.14107    0.85357    0.48064 
   21800   -4.00242   -0.34331    0.27816    0.13160   -0.12817    1.08498    0.06999 
   21900   -4.00338   -0.74241   -0.19585   -0.35329   -0.24892   -0.16430    0.58060 
   22000   -3.98694   -0.11978    0.22136    0.02258   -0.12538   -0.01989   -0.15349 
   22100   -3.97399    0.06123    0.03771   -0.03028   -0.82617    0.32499   -0.22032 
   22200   -4.00150    0.71541    0.31129   -0.26419   -0.03221   -0.03890    0.44844 
   22300   -4.00350   -0.48919   -0.67729    0.26224    0.15602    0.44460    0.45538 
   22400   -4.00705    1.30066   -0.49704    0.98119   -0.65600    1.16512    0.27683 
   22500   -4.00459    0.71941    0.00841   -0.54928   -0.38216    0.65532    0.42595 
   22600   -4.00209   -0.09779    0.16862   -0.43278    0.37690    0.12211   -0.81807 
   22700   -4.00480    0.60610   -0.41128   -0.02641    0.42375   -0.53742    1.02405 
   22800   -3.99945   -0.48193    0.37214   -0.19134    0.35954    0.07483    0.09023 
   22900   -3.99785    0.05100    0.12493    0.20017   -0.79475   -0.83253    0.92350 
   23000   -4.00722    0.25652   -1.25419   -1.12297    0.63308    1.35269    0.16760 
   23100   -4.00539    0.83203    0.09605   -0.39952   -0.78164    0.69906    0.46270 
   23200   -3.98446   -0.30672    0.38458    0.56437   -0.11180   -0.03027   -0.01238 
   23300   -3.99450   -0.32133   -0.06951   -0.02888   -0.25609   -0.19799   -0.03777 
   23400   -3.97868    0.75255    0.08072    0.47144    0.02062   -0.04346    0.07712 
   23500   -4.00622    1.18977    0.49852    0.07551    1.14299    0.20056    0.06488 
   23600   -4.00140   -0.31182   -0.02161    0.85005   -0.08710    0.38145    0.16023 
   23700   -4.00025    0.25062    0.30080   -0.45460   -0.12884    0.18586    0.38519 
   23800   -4.00543   -0.61295   -0.54978   -0.21441    0.69463   -0.64939    0.91327 
   23900   -4.00475   -0.17761    0.62195    0.43513    0.38149    0.93666   -0.43032 
   24000   -4.00163   -0.12742   -0.90879    0.40103    0.17183   -0.06125    0.37753 
   24100   -3.99213   -0.45860   -0.20761   -0.66632    0.08017   -0.13943   -0.06180 
   24200   -4.00554    0.58044   -0.62433    0.42804   -1.10879   -0.32609    0.25569 
   24300   -4.00200    0.30574   -0.41630   -0.45674    0.18263   -0.50308    0.15782 
