     tau         EL         x1         y1         z1         x2         y2         z2
    1290   -2.73957   -0.28607    0.23252   -0.47500   -0.68303    0.09933    0.44971 
    1300   -2.55684   -0.27121    0.23252   -0.47500    0.16343    0.43508    0.49507 
    1310   -2.67487   -0.27121   -0.02814   -0.47500    0.41373    0.43508   -0.27941 
    1320   -2.71520   -0.27121   -0.02814    0.32244    1.05208    0.43508    0.21458 
    1330   -3.06606   -0.27121    0.30831    0.32244    2.17475   -0.49077    0.49179 
    1340   -2.96191   -0.27121    0.56790    0.40746    1.48068    0.46593   -0.65256 
    1350   -3.18451    0.98014    0.56790   -0.72526    0.68972   -0.34091   -0.65256 
    1360   -3.47888    0.16824   -0.31288    0.24878    0.68972   -0.43551    0.42699 
    1370   -2.62795   -0.39099    0.77242   -0.36737   -0.18977   -0.43551    0.45216 
    1380   -3.10656   -0.80346   -0.71272   -0.36737   -0.18977   -0.20271    0.29019 
    1390   -2.81611   -0.80346   -0.71272    0.41003    0.84669   -0.20271    0.29019 
    1400   -2.99297   -0.11574   -0.71272   -0.28684    0.34356   -0.39021    1.59497 
    1410   -3.00835   -0.65334   -0.28594   -0.28684    0.34356   -0.88475    1.56628 
    1420   -2.92188   -0.65334   -0.57823    0.09139    0.43920   -0.88475    0.33757 
    1430   -2.77174   -0.65334   -0.04650    0.08006    0.43920   -0.88475   -0.62034 
    1440   -2.77985   -0.36931   -0.04650   -0.80238    0.44048   -0.88475    0.17876 
    1450   -2.67448   -0.02607   -0.32637   -0.80238    0.44048    0.58016    0.57004 
    1460   -2.71191   -0.57202   -0.10630   -0.80238   -0.07376    0.58016    0.57004 
    1470   -2.99137   -0.57202   -0.94590   -0.80238    0.29319   -0.40433    0.17020 
    1480   -3.17075    0.08146    0.48300    0.53364    0.14437    0.74252    0.17020 
    1490   -2.84980    0.08146    0.39505    0.53364    0.14437   -0.14403    0.17020 
    1500   -2.64755    0.08146    0.39505    0.53364    0.14437   -0.14403   -1.02586 
    1510   -2.83929    0.08146    0.34815    0.53364   -0.37524    0.35456    0.08615 
    1520   -2.65213    0.14448    0.34815    0.53364   -0.37524    0.02006    0.08615 
    1530   -3.11990    0.19177    0.34815   -0.54603   -0.13167    0.02006   -0.20826 
    1540   -2.27203    0.01016    0.34815    0.12910    0.24466   -0.19018   -0.20826 
    1550   -2.82233    0.76751    0.84441   -0.81539   -0.42619   -0.19018   -0.20826 
    1560   -3.29016    0.76751    0.73407   -0.81539    0.48782   -0.09703   -0.20826 
    1570   -2.81693   -0.23315    0.41823   -0.47983    0.48782   -0.09703   -0.59838 
    1580   -3.01136   -0.23315   -0.56357   -0.08194    0.48782   -0.63911   -0.59838 
    1590   -2.99452   -0.23315   -0.56357   -0.08194    0.67061   -0.63911   -0.59838 
    1600   -2.91417    0.57094   -0.56357   -0.17823   -1.40384   -0.54522   -0.21183 
    1610   -2.90254    0.57094   -0.56357    0.23264   -1.40384    0.04865    0.66426 
    1620   -2.85608    0.57094   -0.56357    0.23264   -1.23407    0.22207    0.66426 
    1630   -3.06142   -0.77427   -0.56357   -0.78430   -1.32439    0.83169    0.66426 
    1640   -2.85559   -0.77427    0.21693   -0.57350   -0.11905    0.83169    0.66426 
    1650   -2.86274    0.42033   -0.34652    0.79345   -0.90029    0.83169    0.29105 
    1660   -2.64477    0.30109   -0.34652   -0.07115   -0.97512    0.83169    0.19057 
    1670   -3.03463    0.66419   -0.34652   -0.05096    0.02837    2.03975    0.19057 
    1680   -2.52886    0.66419   -0.34652   -0.11505   -0.50327    0.44798    0.19057 
    1690   -2.75022    0.66419    0.66728   -1.04469   -0.50327   -0.14003    0.19057 
    1700   -2.95572    0.56899    1.49837   -1.07409   -0.50327   -0.07818    0.19057 
    1710   -2.95908    0.56899    1.49837   -1.07409   -0.31649   -0.76966    0.16442 
    1720   -2.95920    1.37609    0.44938   -1.07409   -0.31649   -0.76966    0.16442 
    1730   -2.70460    1.37609    0.44938   -0.29627   -0.31649   -0.21796    0.16442 
